id,date,open,high,low,close,adjusted_close,volume
323,2019-05-10,109.44,111.12,107.2476,110.41,110.4100,23427614
324,2019-05-03,110.7,113.69,108.91,111.96,111.9600,28856714
325,2019-04-26,106.79,110.92,106.02,110.56,110.5600,43168437
326,2019-04-18,108.58,109.0,105.08,107.36,107.3600,23821407
327,2019-04-12,105.66,108.54,104.67,108.48,108.4800,37720036
328,2019-04-05,104.99,105.97,102.65,105.73,105.7300,32347747
329,2019-03-29,100.94,104.7,100.51,103.84,103.8400,25157999
330,2019-03-22,101.21,104.56,99.37,101.27,101.2700,34293832
331,2019-03-15,96.01,101.2599,95.9539,100.73,100.7300,36744450
332,2019-03-08,98.03,98.5,94.51,95.69,95.6900,28152551
333,2019-03-01,96.07,99.45,95.53,98.8,98.8000,30528805
334,2019-02-22,94.45,96.0,93.98,95.98,95.9800,27554723
335,2019-02-15,92.25,96.04,92.15,94.91,94.9100,35190266
336,2019-02-08,89.88,92.35,89.71,91.87,91.8700,33541092
337,2019-02-01,93.3,93.42,86.62,90.01,90.0100,59628424
338,2019-01-25,90.33,94.58,89.09,94.28,94.2800,34900132
339,2019-01-18,89.96,92.35,89.55,91.12,91.1200,47150624
340,2019-01-11,86.42,91.1442,86.02,90.65,90.6500,43856404
341,2019-01-04,84.24,86.91,81.91,86.27,86.2700,36279453
342,2018-12-28,77.48,85.23,76.7,83.26,83.2600,32494699
343,2018-12-21,85.69,87.8,77.69,78.14,78.1400,59437310
344,2018-12-14,83.25,88.71,82.76,85.92,85.9200,43560385
345,2018-12-07,87.29,88.84,81.29,82.77,82.7700,37690806
346,2018-11-30,78.97,86.0,78.86,85.81,85.8100,41759847
347,2018-11-23,84.77,85.19,75.47,77.95,77.9500,37247173
348,2018-11-16,86.17,87.09,83.07,85.06,85.0600,35270177
349,2018-11-09,83.33,89.06,82.25,86.76,86.7600,34601977
350,2018-11-02,84.74,86.104,78.99,83.51,83.5100,50178428
351,2018-10-26,84.86,87.8,82.18,83.37,83.3700,64000103
352,2018-10-19,78.88,86.17,77.22,84.78,84.7800,82524131
353,2018-10-12,82.62,82.89,74.66,79.03,79.0300,78267061
354,2018-10-05,88.13,88.8,82.32,83.18,83.1800,42187908
355,2018-09-28,89.95,90.93,87.6,87.84,87.8400,35110340
356,2018-09-21,90.66,92.0,88.2382,90.62,90.6200,52551047
357,2018-09-14,89.43,93.7,88.56,90.78,90.7800,37654973
358,2018-09-07,91.94,93.44,87.39,88.82,88.8200,29188969
359,2018-08-31,90.68,93.01,89.68,92.33,92.3300,30060449
360,2018-08-24,85.74,90.13,84.9,90.1,90.1000,25472338
361,2018-08-17,87.42,88.5,84.22,85.45,85.4500,33102616
362,2018-08-10,85.19,88.09,84.9,87.01,87.0100,25846829
363,2018-08-03,85.5,86.2,81.3,85.19,85.1900,52667829
364,2018-07-27,87.14,92.35,84.75,85.46,85.4600,66588480
365,2018-07-20,88.26,88.93,86.59,87.47,87.4700,27502470
366,2018-07-13,86.6,89.19,85.07,87.99,87.9900,26582804
367,2018-07-06,82.75,86.0,82.0621,85.94,85.9400,18956753
368,2018-06-29,84.08,84.47,80.16,83.27,83.2700,40688494
369,2018-06-22,84.84,87.55,83.43,85.12,85.1200,36604102
370,2018-06-15,84.45,86.295,83.79,85.31,85.3100,36951757
371,2018-06-08,83.23,85.61,82.31,84.34,84.3400,39593896
372,2018-06-01,80.71,83.46,80.2,83.25,83.2500,27782655
373,2018-05-25,81.61,83.06,79.405,80.96,80.9600,39298275
